moltype;mp;bp;mw
ESTER;-98;57;74
ESTER;-88;79;88
ESTER;-73;99;102
ESTER;-95;102;102
ESTER;-92;107;102
ESTER;-88;110;116
ESTER;-93;120;116
ESTER;-76;123;116
ESTER;-78;127;116
ESTER;-71;137;130
ESTER;-78;142;130
ESTER;-90;147;130
ESTER;-12;198;136
ESTER;-81;149;144
ESTER;-92;167;144
ESTER;-56;173;144
ESTER;-51;206;150
ESTER;-34;212;150
ESTER;33;217;150
ESTER;-72;186;158
ESTER;-52;231;164
ESTER;78;279;181
ESTER;70;314;198
ESTER;-3;299;222
ACID;-23;141;74
ACID;-8;163;88
ACID;-29;176;102
ACID;-18;186;102
ACID;34;163;102
ACID;-15;195;116
ACID;-3;202;116
ACID;188;235;118
ACID;121;249;122
ACID;103;258;136
ACID;110;263;136
ACID;179;257;136
ACID;31;270;172
