"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-01","2014","01","01","†","-12.0","","-15.5","","-13.8","","31.8","","0.0","","0.0","","0.0","T","0.0","T","17","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-02","2014","01","02","†","-18.0","","-20.5","","-19.3","","37.3","","0.0","","0.0","","0.2","","0.2","","17","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-03","2014","01","03","†","-7.5","","-26.0","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-04","2014","01","04","†","-1.0","","-17.0","","-9.0","","27.0","","0.0","","0.0","","4.0","","4.0","","15","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-05","2014","01","05","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","5.4","","9.2","","14.6","","19","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-06","2014","01","06","†","-5.0","","-14.0","","-9.5","","27.5","","0.0","","0.0","","0.2","","0.2","","28","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-07","2014","01","07","†","-15.5","","-24.5","","-20.0","","38.0","","0.0","","0.0","","0.2","","0.2","","27","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-08","2014","01","08","†","-8.5","","-19.5","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","25","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-09","2014","01","09","†","-5.0","","-14.5","","-9.8","","27.8","","0.0","","0.0","","3.0","","3.0","","24","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-10","2014","01","10","†","2.0","","-11.5","","-4.8","","22.8","","0.0","","8.6","","0.0","","8.6","","26","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-11","2014","01","11","†","5.5","","0.5","","3.0","","15.0","","0.0","","2.8","","0.4","","3.2","","24","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-12","2014","01","12","†","1.5","","-0.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-13","2014","01","13","†","6.5","","-4.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-14","2014","01","14","†","4.5","","0.0","","2.3","","15.7","","0.0","","0.0","","0.2","","0.2","","18","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-15","2014","01","15","†","-1.0","","-3.5","","-2.3","","20.3","","0.0","","0.0","","0.2","","0.2","","18","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-16","2014","01","16","†","-1.0","","-7.5","","-4.3","","22.3","","0.0","","0.0","","8.0","","8.0","","17","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-17","2014","01","17","†","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","2.0","","2.0","","25","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-18","2014","01","18","†","-2.5","","-7.0","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","26","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-19","2014","01","19","†","-2.5","","-9.5","","-6.0","","24.0","","0.0","","0.0","","3.4","","3.4","","25","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-20","2014","01","20","†","-9.5","","-14.5","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-21","2014","01","21","†","-15.5","","-23.0","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-22","2014","01","22","†","-14.0","","-25.5","","-19.8","","37.8","","0.0","","0.0","","0.4","","0.4","","26","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-23","2014","01","23","†","-13.5","","-20.0","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-24","2014","01","24","†","-8.5","","-22.0","","-15.3","","33.3","","0.0","","0.0","","6.6","","6.6","","25","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-25","2014","01","25","†","-4.0","","-14.0","","-9.0","","27.0","","0.0","","0.0","","1.0","","1.0","","32","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-26","2014","01","26","†","-6.0","","-22.0","","-14.0","","32.0","","0.0","","0.0","","8.6","","8.6","","32","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-27","2014","01","27","†","-9.0","","-14.5","","-11.8","","29.8","","0.0","","0.0","","0.2","","0.2","","38","","","","",""
"-79.45","43.88","RICHMOND HILL","6157012","2014-01-28","2014","01","28","†","-12.0","","-20.0","","-16.0","","34.0","","0.0","","0.0","","0.0","T","0.0","T","37","","","","",""
